trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
Serum creatinine (eGFRcrea),public,Pattaro,Risk factor,CKDGen,1105,1,NA,NA,NA,2198208,26831199,Mixed,1,133814,0.24,log ml/min/1.73 m^¶ý,Males and females,Kidney,2016,serum creatinine measurement,EFO:0004518,high
Serum cystatin C (eGFRcys),public,Pattaro,Risk factor,CKDGen,1106,1,NA,NA,NA,2197556,26831199,Mixed,1,33152,0.23,log ml/min/1.73 m^¶ý,Males and females,Kidney,2016,cystatin C measurement,EFO:0004617,high
Simple reaction time,public,Luciano,Risk factor,NA,1066,1,NA,NA,Metric of information processing speed,2415500,21130836,European,1,2378,75.43,SD (milliseconds),Males and females,Psychiatric / neurological,2016,mental process,EFO:0004323,low
Sitting height ratio,public,Chan,Risk factor,NA,1069,1,NA,NA,Ratio of sitting height to total height; effect allele frequencies are missing,14202955,25865494,African American,1,3545,NA,SD,Males and females,Anthropometric,2016,,,
Sitting height ratio,public,Chan,Risk factor,NA,1070,1,NA,NA,Ratio of sitting height to total height; effect allele frequencies are missing,7710729,25865494,European,1,21590,NA,SD,Males and females,Anthropometric,2015,sitting height ratio,EFO:0007118,high
Sitting height ratio,public,Chan,Risk factor,NA,1071,1,NA,NA,Ratio of sitting height to total height; effect allele frequencies are missing,7707032,25865494,European,1,12965,NA,SD,Females,Anthropometric,2014,,,
Sitting height ratio,public,Chan,Risk factor,NA,1072,1,NA,NA,Ratio of sitting height to total height; effect allele frequencies are missing,7651791,25865494,European,1,8625,NA,SD,Males,Anthropometric,2011,,,
Sleep duration,public,Jones,Risk factor,UK Biobank,1088,1,NA,NA,Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,16761226,27494321,European,1,128266,NA,SD,Males and females,Sleeping,2016,sleep duration,EFO:0005271,high
Small cell lung carcinoma,developer,NA,Disease,TRICL,988,1,2791,20580,NA,7438318,NA,European,1,23371,NA,NA,Males and females,Cancer,2011,,,
Squamous cell lung cancer,public,Wang Y,Disease,ILCCO,967,1,3275,15038,NA,8893750,24880342,European,1,18313,NA,log odds,Males and females,Cancer,2016,squamous cell lung carcinoma,EFO:0000708,high
Squamous cell lung cancer,developer,NA,Disease,TRICL,989,1,7704,54763,NA,10341529,NA,European,1,62467,NA,NA,Males and females,Cancer,2016,,,
Subjective well being,public,Okbay,Risk factor,SSGAC,1009,1,NA,NA,NA,2268675,27089181,European,1,298420,NA,SD,Males and females,Psychiatric / neurological,2016,wellbeing measurement,EFO:0007869,high
Subjective well being,public,Okbay,Risk factor,SSGAC,1018,1,NA,NA,ALSPAC; TEDS and 23andMe excluded (ALSPAC=5649; 23andME=93454; TEDS=2143),2264177,27089181,European,3,197174,NA,SD,Males and females,Psychiatric / neurological,2014,,,
Symbol search,public,Luciano,Risk factor,NA,1062,1,NA,NA,Metric of information processing speed,2529394,21130836,European,1,991,6.28,SD (milliseconds),Males and females,Psychiatric / neurological,2013,mental process,EFO:0004323,low
E-selectin,public,Paterson AD,Risk factor,DCCT & EDIC,1014,0,NA,NA,Only P values available; all subjects had type 1 diabetes,841305,19729612,European,1,685,0.1026116,log ng/ml,Males and females,Immune system,2009,,,
Systemic lupus erythematosus,immunobase_users,Bentham,Disease,NA,288,1,7219,15991,Effect allele frequencies are missing,7738889,26502338,European,1,23210,NA,log odds,Males and females,Autoimmune / inflammatory,2016,systemic lupus erythematosus,EFO:0002690,high
Systemic lupus erythematosus,public,Hom G,Disease,NA,815,1,1311,1783,Effect allele frequencies are missing,489877,18204098,European,1,3094,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Telomere length,developer,Mangino M,Risk factor,NA,998,1,NA,NA,Standard error is used for weighting in meta analysis,2735694,23001564,European,1,9190,0.65,kilobase pair,Males and females,Biomarker,2015,telomere length,EFO:0004505,high
Thalamus volume,public,Hibar,Risk factor,ENIGMA,1048,1,NA,NA,adjusted for intracranial volume,7288410,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2016,thalamus volume,EFO:0006935,high
Thyroid cancer,public,Kohler A,Disease,NA,1082,1,649,431,NA,572028,23894154,European,1,1080,NA,log odds,Males and females,Cancer,2015,,,
Top 1 % survival,public,Pilling,Risk factor,UK Biobank,1091,1,NA,NA,At least one parent in top 1% of parents attained age; Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,9583643,27015805,European,1,75244,NA,log odds,Males and females,Aging,2014,longevity,EFO:0004300,low
Total cholesterol,public,Willer CJ,Risk factor,GLGC,301,1,NA,NA,NA,2446982,24097068,Mixed,1,187365,41.75071927,SD (mg/dL),Males and females,Lipid,2014,total cholesterol measurement,EFO:0004574,high
Total cholesterol,public,Willer CJ,Risk factor,GLGC,782,1,NA,NA,Metabo-chip,120794,24097068,Mixed,2,92260,41.75071927,SD (mg/dL),Males and females,Lipid,2014,,,
Transferrin,public,Benyamin,Risk factor,GIS,1052,1,NA,NA,Effect allele frequencies are missing,2104242,25352340,European,1,23986,NA,SD,Males and females,Metal,2014,transferrin measurement,EFO:0006341,high
Transferrin Saturation,public,Benyamin,Risk factor,GIS,1051,1,NA,NA,Effect allele frequencies are missing,2102226,25352340,European,1,23986,NA,SD,Males and females,Metal,2011,transferrin saturation measurement,EFO:0006333,high
Triglycerides,public,Willer CJ,Risk factor,GLGC,302,1,NA,NA,NA,2439433,24097068,Mixed,1,177861,90.72424257,SD (mg/dL),Males and females,Lipid,2013,triglyceride measurement,EFO:0004530,high
Abdominal aortic aneurysm,public,NA,Disease,IAC,1026,0,4972,99858,Only P-values available,5341028,NA,European,1,104830,NA,NA,Males and females,Cardiovascular,NA,,,
Lp(a) Levels,public,Ober,Risk factor,NA,1027,0,NA,NA,Only P-values available,290329,19124843,European,1,357,NA,NA,Males and females,Lipid,2009,,,
Aggression,public,Pappa,Disease,EAGLE,1028,0,NA,NA,Only P values are available,2188529,26087016,European,1,18988,NA,NA,Males and females,Psychiatric / neurological,2016,,,
Triglycerides,public,Willer CJ,Risk factor,GLGC,783,1,NA,NA,Metabo-chip,120446,24097068,Mixed,2,86852,90.72424257,SD (mg/dL),Males and females,Lipid,2014,,,
ADHD,public,Middeldorp,Disease,EAGLE,1030,0,NA,NA,In children; GC correlcted; only P values are available,5837347,27663945,European,1,17666,NA,score,Males and females,Psychiatric / neurological,2016,,,
ADHD,public,Middeldorp,Disease,EAGLE,1031,0,NA,NA,In children; no GC correction; only P values are available,5837347,27663945,European,1,17666,NA,score,Males and females,Psychiatric / neurological,2016,,,
Type 1 diabetes,immunobase_users,Onengut-Gumuscu,Disease,NA,284,1,9563,9369,Immuno-chip; effect allele frequencies are missing,112941,25751624,European,2,18932,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Type 1 diabetes,immunobase_users,Onengut-Gumuscu,Disease,NA,285,1,12079,12262,Immuno-chip; effect allele frequencies are missing,112888,25751624,European,1,24341,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Type 1 diabetes,immunobase_users,NA,Disease,NA,290,1,5913,7341,Effect allele frequencies are missing,804104,NA,European,1,13254,NA,log odds,Males and females,Autoimmune / inflammatory,2013,type I diabetes mellitus,EFO:0001359,high
Type 2 diabetes,public,Mahajan A,Disease,DIAGRAM,23,1,26488,83964,Effect allele frequencies are missing; forward strand,2915012,24509480,Mixed,1,110452,NA,log odds,Males and females,Diabetes,2013,type II diabetes mellitus,EFO:0001360,high
Type 2 diabetes,public,Morris,Disease,DIAGRAMplusMetabochip,24,1,34840,114981,DIAGRAMplusMetabochip; effect allele frequencies are missing; forward strand,127904,22885922,Mixed,3,149821,NA,log odds,Males and females,Diabetes,2013,,,
Type 2 diabetes,public,Gaulton,Disease,DIAGRAM,25,1,27206,57574,forward strand,45944,26551672,Mixed,4,84780,NA,log odds,Males and females,Diabetes,2013,,,
Type 2 diabetes,public,Morris,Disease,DIAGRAM,26,1,12171,56862,Effect allele frequencies are missing; forward strand,2473442,22885922,European,2,69033,NA,log odds,Males and females,Diabetes,2013,,,
Type 2 diabetes,public,Morris,Disease,DIAGRAM,976,1,10247,53924,DIAGRAM excluding the WTCCC; effect allele frequencies are missing; forward strand,2662411,22885922,Mixed,5,64171,NA,log odds,Males and females,Diabetes,2013,,,
Ulcerative colitis,public,Liu,Disease,IIBDGC,32,1,6968,20464,NA,12255197,26192919,European,1,27432,NA,log odds,Males and females,Autoimmune / inflammatory,2013,ulcerative colitis,EFO:0000729,high
Ulcerative colitis,public,Jostins L,Disease,IIBDGC,968,1,10920,15977,NA,10662,23128233,European,1,26897,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Ulcerative colitis,public,Liu,Disease,IIBDGC,969,1,1134,3719,NA,156116,26192919,East Asian,1,4853,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Ulcerative colitis,public,Liu,Disease,IIBDGC,970,1,13768,33977,NA,156116,26192919,European,1,47745,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Ulcerative colitis,public,Liu,Disease,IIBDGC,971,1,1239,990,NA,156116,26192919,Indian,1,2229,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Ulcerative colitis,public,Liu,Disease,IIBDGC,972,1,397,342,NA,156116,26192919,Iranian,1,739,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Ulcerative colitis,public,Anderson CA,Disease,IIBDGC,973,1,6687,19718,Effect allele frequencies are missing,1243971,21297633,European,2,26405,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Urate,public,Huffman JE,Risk factor,GUGC,786,1,NA,NA,BMI by SNP interaction all; effect allele frequencies are missing,2427168,25811787,European,1,42741,1.33,SD (mg/dL),Males and females,Other,2015,,,
Urate,public,Huffman JE,Risk factor,GUGC,787,1,NA,NA,BMI by SNP interaction men; effect allele frequencies are missing,2429139,25811787,European,1,42741,1.33,SD (mg/dL),Males,Other,2015,,,
Urate,public,Huffman JE,Risk factor,GUGC,788,1,NA,NA,BMI by SNP interaction women; effect allele frequencies are missing,2448586,25811787,European,1,42741,1.33,SD (mg/dL),Females,Other,2014,,,
Urate,public,Huffman JE,Risk factor,GUGC,789,1,NA,NA,Lean all; effect allele frequencies are missing,2636789,25811787,European,1,14504,1.33,SD (mg/dL),Males and females,Other,2014,,,
Urate,public,Huffman JE,Risk factor,GUGC,790,1,NA,NA,Lean men; effect allele frequencies are missing,2638624,25811787,European,1,5529,1.33,SD (mg/dL),Males,Other,2014,,,
Urate,public,Huffman JE,Risk factor,GUGC,791,1,NA,NA,Lean women; effect allele frequencies are missing,2637491,25811787,European,1,9753,1.33,SD (mg/dL),Females,Other,2014,,,
Urate,public,Huffman JE,Risk factor,GUGC,792,1,NA,NA,Obese all; effect allele frequencies are missing,2638441,25811787,European,1,17078,1.33,SD (mg/dL),Males and females,Other,2013,,,
Urate,public,Huffman JE,Risk factor,GUGC,793,1,NA,NA,Obese men; effect allele frequencies are missing,2640037,25811787,European,1,10058,1.33,SD (mg/dL),Males,Other,2013,,,
Urate,public,Huffman JE,Risk factor,GUGC,794,1,NA,NA,Obese women; effect allele frequencies are missing,2664210,25811787,European,1,7189,1.33,SD (mg/dL),Females,Other,2013,,,
Urate,public,Huffman JE,Risk factor,GUGC,795,1,NA,NA,Overweight all; effect allele frequencies are missing,2636286,25811787,European,1,9445,1.33,SD (mg/dL),Males and females,Other,2012,,,
Urate,public,Huffman JE,Risk factor,GUGC,796,1,NA,NA,Overweight men; effect allele frequencies are missing,2636827,25811787,European,1,4613,1.33,SD (mg/dL),Males,Other,2011,,,
Urate,public,Huffman JE,Risk factor,GUGC,797,1,NA,NA,Overweight women; effect allele frequencies are missing,2521972,25811787,European,1,4690,1.33,SD (mg/dL),Females,Other,2010,,,
Urate,public,KÇôttgen,Risk factor,GUGC,1055,1,NA,NA,Effect allele frequencies are missing,2450548,23263486,European,1,110347,1.33,mg/dl,Males and females,Other,2010,urate measurement,EFO:0004531,high
Urinary albumin-to-creatinine ratio,public,Teumer,Risk factor,CKDGen,1100,1,NA,NA,In subjects with diabetes mellitus,2191488,26631737,European,3,5825,0.96,log mg/g,Males and females,Kidney,2011,,,
Urinary albumin-to-creatinine ratio,public,Teumer,Risk factor,CKDGen,1101,1,NA,NA,Subjects with diabetes mellitus excluded,2188462,26631737,European,2,46061,0.96,log mg/g,Males and females,Kidney,2011,,,
Urinary albumin-to-creatinine ratio,public,Teumer,Risk factor,CKDGen,1107,1,NA,NA,NA,2190189,26631737,European,1,54450,0.96,log mg/g,Males and females,Kidney,2011,urinary albumin to creatinine ratio,EFO:0007778,high
Waist circumference,public,Shungin D,Risk factor,GIANT,60,1,NA,NA,NA,2566630,25673412,Mixed,1,224459,12.52,SD (cm),Males and females,Anthropometric,2011,waist circumference,EFO:0004342,high
Waist circumference,public,Shungin D,Risk factor,GIANT,61,1,NA,NA,NA,2565408,25673412,European,2,232101,12.52,SD (cm),Males and females,Anthropometric,2011,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,62,1,NA,NA,NA,2445598,25673412,Mixed,3,134593,12.52,SD (cm),Females,Anthropometric,2011,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,63,1,NA,NA,NA,2444355,25673412,European,4,127997,12.52,SD (cm),Females,Anthropometric,2011,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,64,1,NA,NA,NA,2303175,25673412,Mixed,5,110003,12.52,SD (cm),Males,Anthropometric,2011,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,65,1,NA,NA,NA,2302005,25673412,European,6,104405,12.52,SD (cm),Males,Anthropometric,2015,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,66,1,NA,NA,Adjusted for BMI; effect allele frequecies are missing,2547573,25673412,Mixed,9,245746,12.52,SD (cm),Males and females,Anthropometric,2015,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,67,1,NA,NA,Adjusted for BMI; effect allele frequecies are missing,2546074,25673412,European,10,231353,12.52,SD (cm),Males and females,Anthropometric,2015,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,68,1,NA,NA,Adjusted for BMI,2474453,25673412,Mixed,11,134038,12.52,SD (cm),Females,Anthropometric,2015,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,69,1,NA,NA,Adjusted for BMI,2473036,25673412,European,12,127469,12.52,SD (cm),Females,Anthropometric,2013,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,70,1,NA,NA,Adjusted for BMI,2296775,25673412,Mixed,13,109678,12.52,SD (cm),Males,Anthropometric,2013,,,
Waist circumference,public,Shungin D,Risk factor,GIANT,71,1,NA,NA,Adjusted for BMI,2294966,25673412,European,14,104079,12.52,SD (cm),Males,Anthropometric,2013,,,
Waist circumference,public,Randall JC,Risk factor,GIANT,102,1,NA,NA,NA,2745544,23754948,European,7,60586,12.52,SD (cm),Males,Anthropometric,2013,,,
Waist circumference,public,Randall JC,Risk factor,GIANT,103,1,NA,NA,NA,2740385,23754948,European,8,73137,12.52,SD (cm),Females,Anthropometric,2013,,,
Waist circumference,public,Randall JC,Risk factor,GIANT,104,1,NA,NA,Adjusted for BMI,2744366,23754948,European,15,60586,12.52,SD (cm),Males,Anthropometric,2013,,,
Waist circumference,public,Randall JC,Risk factor,GIANT,105,1,NA,NA,Adjusted for BMI,2738338,23754948,European,16,73137,12.52,SD (cm),Females,Anthropometric,2013,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,72,1,NA,NA,Effect allele frequecies are missing,2562516,25673412,Mixed,1,224459,0.076079409,SD,Males and females,Anthropometric,2013,waist-hip ratio,EFO:0004343,high
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,73,1,NA,NA,Effect allele frequecies are missing,2560782,25673412,European,2,212244,0.076079409,SD,Males and females,Anthropometric,2010,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,74,1,NA,NA,NA,2466633,25673412,Mixed,3,124591,0.07703981,SD,Females,Anthropometric,2013,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,75,1,NA,NA,NA,2466102,25673412,European,4,118003,0.07703981,SD,Females,Anthropometric,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,76,1,NA,NA,NA,2208812,25673412,Mixed,5,100028,0.07416015,SD,Males,Anthropometric,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,77,1,NA,NA,NA,2207530,25673412,European,6,94429,0.07416015,SD,Males,Anthropometric,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,78,1,NA,NA,Adjusted for BMI,2544137,25673412,Mixed,9,224452,0.076079409,SD,Males and females,Anthropometric,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,79,1,NA,NA,Adjusted for BMI,2542432,25673412,European,10,210082,0.076079409,SD,Males and females,Anthropometric,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,80,1,NA,NA,Adjusted for BMI,2468367,25673412,Mixed,11,123302,0.07703981,SD,Females,Anthropometric,2016,,,
Body mass index,public,Wood,Risk factor,UK Biobank,1089,0,NA,NA,Dominance model? If so then not necessarily of value for MR; Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,8654252,26961502,European,1,120286,NA,NA,Males and females,Anthropometric,2016,,,
Type 2 diabetes,public,Wood,Disease,UK Biobank,1090,0,4040,116246,Dominance model? If so then not necessarily of value for MR; Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,8404296,26961502,European,1,120286,NA,log odds,Males and females,Diabetes,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,81,1,NA,NA,Adjusted for BMI,2467779,25673412,European,12,116740,0.07703981,SD,Females,Anthropometric,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,82,1,NA,NA,Adjusted for BMI,2146958,25673412,Mixed,13,99076,0.07416015,SD,Males,Anthropometric,2016,,,
Waist-to-hip ratio,public,Shungin D,Risk factor,GIANT,83,1,NA,NA,Adjusted for BMI,2146137,25673412,European,14,93478,0.07416015,SD,Males,Anthropometric,2016,,,
Waist-to-hip ratio,public,Randall JC,Risk factor,GIANT,108,1,NA,NA,NA,2743340,23754948,European,7,60586,0.07416015,SD (ratio),Males,Anthropometric,2016,,,
Waist-to-hip ratio,public,Randall JC,Risk factor,GIANT,109,1,NA,NA,NA,2738303,23754948,European,8,73137,0.07703981,SD (ratio),Females,Anthropometric,2014,,,
Waist-to-hip ratio,public,Randall JC,Risk factor,GIANT,110,1,NA,NA,Adjusted for BMI,2742745,23754948,European,15,60586,0.07416015,SD (ratio),Males,Anthropometric,2012,,,
Waist-to-hip ratio,public,Randall JC,Risk factor,GIANT,111,1,NA,NA,Adjusted for BMI,2737356,23754948,European,16,73137,0.07703981,SD (ratio),Females,Anthropometric,2015,,,
Waist-to-hip ratio,public,Heid IM,Risk factor,GIANT,112,1,NA,NA,Adjusted for BMI,2483326,20935629,European,17,77221,0.076079409,SD,Males and females,Anthropometric,2013,,,
